idMedicamento;codigoMedicamento;nombreMedicamento;idProveedorMedicamento;precioCMedicamento;precioVMedicamento;descuentoMedicamento;tipoMedicamento;idClasificacionMedicamento;stockMedicamento;usadosMedicamento;pivoteMedicamento;minimoMedicamento;ocultarMedicamento;feriadoMedicamento;idFabricante;Test
1;1000;ACETAMINOFÉN;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
2;1001;AZITROMICINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
3;1002;DOGENAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
4;1003;ANALGAN;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
5;1004;HEMOGRAMA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
6;1005;LEUCOGRAMA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
7;1006;HEMATOCRITO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
8;1007;HEMOGLOBINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
9;1008;RECUENTO DE PLAQUETAS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
10;1009;RETICULOSITOS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
11;1010;ERITROSEDIMENTACION;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
12;1011;GOTA GRUESA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
13;1012;FOTIS DE SANGRE PERIFERICA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
14;1013;CONCENTRADO DE STROUT;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
15;1014;DIMERO D;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
16;1015;FERRITINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
17;1016;INMONULOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
18;1017;PRUEBA DE EMBARAZO EN SANGRE;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
19;1018;PRUEBA DE EMBARAZO EN ORINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
20;1019;SEROLOGIA PARA SIFILIS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
21;1020;GRUPO SANGUINEO Y FACTOR RH;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
22;1021;ANTICUERPOS PARA H.I.V;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
23;1022;"PROTEINA ""C"" REACTIVA";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
24;1023;FACTOR REUMATOIDEO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
25;1024;"ANTIESTREPTOLISINA ""O""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
26;1025;ANTIGENO PROSTATICO ESPECIFICO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
27;1026;AC. PARA HELICOBACTER PYLORI;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
28;1027;ANTIGENOS FEBRILES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
29;1028;COOMBS DIRECTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
30;1029;COOMBS INDIRECTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
31;1030;AC. PARA CHAGAS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
32;1031;"TOXOPLASMA IG ""G""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
33;1032;"TOXOPLASMA IG ""M""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
34;1033;UROLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
35;1034;GENERAL DE ORINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
36;1035;PROTEINAS AL AZAR;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
37;1036;COPROLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
38;1037;GENERAL DE HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
39;1038;CONCENTRADO DE HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
40;1039;SANGRE OCULTA EN HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
41;1040;PRUEBA AZUL DE METILENO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
42;1041;AZUCARES REDUCTORES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
43;1042;HELICOBACTER PYLORY EN HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
44;1043;BACTERIOLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
45;1044;UROCULTIVO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
46;1045;COPROCULTIVO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
47;1046;DIRECTO DE SECRESIONES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
48;1047;CULTIVO DE SECRESIONES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
49;1048;CULTIVO FARINGEO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
50;1049;CULTIVO DE ESPUTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
51;1050;COLORACION DE GRAM;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
52;1051;KOH;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
53;1052;BACILOSCOPIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
54;1053;QUIMICA SANGUINEA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
55;1054;GLUCOSA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
56;1055;GLUCOSA POST PANDRIAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
57;1056;COLESTEROL TOTAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
58;1057;COLESTEROL HDL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
59;1058;COLESTEROL LDL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
60;1059;TRIGLICERIDOS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
61;1060;ACIDO URICO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
62;1061;CREATININA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
63;1062;NITROGENO UREICO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
64;1063;UREA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
65;1064;TGO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
66;1065;TGP;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
67;1066;HEMOGLOBINA GLICOSILADA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
68;1067;DEPURACION DE CREATININA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
69;1068;PROTEINA EN ORINA DE 24 HORAS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
70;1069;PROTEINAS TOTALES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
71;1070;ALBUMINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
72;1071;GLOBULINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
73;1072;BILIRRUBINA TOTAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
74;1073;BILIRRUBINA DIRECTA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
75;1074;BILIRRUBINA INDIRECTA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
76;1075;AMILASA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
77;1076;FOSFATASA ALCALINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
78;1077;T3 TOTAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
79;1078;T4 TOTAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
80;1079;TSH;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
81;1080;L.D.H;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
82;1081;CLORO ;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
83;1082;SODIO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
84;1083;POTASIO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
85;1084;CALCIO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
86;1085;MAGNESIO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
87;1086;FOSFORO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
88;1087;CRANEO;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
89;1088;WATERS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
90;1089;CUELLO(TEJIDOS BLANDOS);1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
91;1090;CAVUM;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
92;1091;SENOS PARA NASALES;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
93;1092;TOWN;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
94;1093;SILLA TURCA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
95;1094;HUESOS NASALES;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
96;1095;ART. T.M;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
97;1096;ORBITA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
98;1097;AGUJEROS OPTICOS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
99;1098;MASTOIDES;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
100;1099;MANDIBULA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
101;1100;CERVICAL;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
102;1101;CERVICAL CON OBLICUAS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
103;1102;COLUMNA DORSAL;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
104;1103;LUMBAR CON OBLICUAS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
105;1104;LUMBAR FLEXION Y EXTENSION;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
106;1105;PELVIS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
107;1106;SACRO-COXIS;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
108;1107;TORAX(PA) DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
109;1108;TORAX(PA Y LAT) DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
110;1109;COSTILLA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
111;1110;ESTERNON;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
112;1111;ABDOMEN SIMPLE;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
113;1112;ABDOMEN AGUDO;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
114;1113;ESOFAGOGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
115;1114;TUVO DIGESTIVO SUPERIOR;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
116;1115;TRANSITO INTESTINAL;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
117;1116;COLON, ENEMA BARITADO;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
118;1117;PIELOGRAMA E.V;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
119;1118;PIELOGRAMA RETROGRADO;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
120;1119;CISTOGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
121;1120;CISTOURETROGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
122;1121;PEV. POR INFUSION;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
123;1122;URETROGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
124;1123;SERIE OSEA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
125;1124;CLAVICULA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
126;1125;ESCAPULA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
127;1126;HOMBRO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
128;1127;HUMERO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
129;1128;CODO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
130;1129;ANTEBRAZO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
131;1130;MUÑECA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
132;1131;MANO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
133;1132;EDAD OSEA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
134;1133;CADERA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
135;1134;FEMUR DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
136;1135;RODILLA DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
137;1136;TIBIA PERONE DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
138;1137;PIE DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
139;1138;CALCANEO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
140;1139;TOBILLO DI;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
141;1140;HISTEROSALPINGOGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
142;1141;COLANGIOGRAMA POR TUBO EN T.;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
143;1142;FISTULOGRAMA;1;0;0;0;Servicios;27;0;0;2;0;0;0;1;
144;1143;ULTRASONOGRAFIA ABDOMINAL;1;0;0;0;Servicios;27;0;0;3;0;0;0;1;
